url, google maps link, basic info, walking, bicycling, transit,
https://chicago.craigslist.org/nwc/apa/d/mount-prospect-like-new-renovated-1/7127363302.html, https://www.google.com/maps/search/42.045070,-87.938604, 1BR  /  1Ba available jun 1 apartment laundry in bldg no smoking off-street parking, 7 hours 6 mins, 2 hours 7 mins, 1 hour 56 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-get-1000-river-north-2bd-2ba/7127363245.html, https://www.google.com/maps/search/41.894032,-87.634252, 2BR  /  2Ba 1130 ft 2 available jul 15 application fee details:  $55/person for general credit/background check broker fee details:  Absolutely FREE cats are OK - purrr dogs are OK - wooof apartment w/d in unit listed by:  Jenny Lewis, Downtown Apartment Company no smoking attached garage wheelchair accessible, 50 mins, 17 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-th-street-apt-for-june-1st-in/7127362841.html, https://www.google.com/maps/search/41.858167,-87.669418, 2BR  /  1Ba available jun 1 application fee details:  $69/applicant cats are OK - purrr apartment laundry in bldg, 32 mins, 12 mins, 25 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-spacious-one-bedroom-apartment/7127361518.html, https://www.google.com/maps/search/41.935418,-87.656913, available may 20 cats are OK - purrr dogs are OK - wooof apartment, 1 hour 39 mins, 30 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-get-1000-river-north-1bd-1ba/7127361065.html, https://www.google.com/maps/search/41.894032,-87.634252, 1BR  /  1Ba 700 ft 2 available jun 11 application fee details:  $55/person for general credit/background check broker fee details:  Absolutely FREE cats are OK - purrr dogs are OK - wooof apartment w/d in unit listed by:  Jenny Lewis, Downtown Apartment Company no smoking attached garage wheelchair accessible, 50 mins, 17 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/chicago-lease-transfer-corner-apartment/7127360614.html, https://www.google.com/maps/search/41.893587,-87.614905, 1BR  /  1Ba 800 ft 2 available may 21 application fee details:  $50 Application Fee paid directly to Building Management Company cats are OK - purrr dogs are OK - wooof furnished apartment w/d in unit attached garage, 1 hour 8 mins, 24 mins, 38 mins,
https://chicago.craigslist.org/nwi/apa/d/valparaiso-covered-carport-parking/7127360278.html, https://www.google.com/maps/search/41.454700,-87.065600, 1BR  /  1Ba 702 ft 2 available may 28 cats are OK - purrr dogs are OK - wooof apartment w/d hookups carport, 16 hours 1 min, 5 hours 0 mins, 1 hour 55 mins,
https://chicago.craigslist.org/chc/apa/d/evanston-two-bedroom-apartments/7127360006.html, https://www.google.com/maps/search/42.018783,-87.686650, 2BR  /  1Ba available may 20 application fee details:  $60 application fee for anyone 18 and over cats are OK - purrr dogs are OK - wooof apartment laundry in bldg street parking, 3 hours 43 mins, 1 hour 10 mins, 1 hour 19 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-live-across-from-oak-st-beach/7127359576.html, https://www.google.com/maps/search/41.900132,-87.619352, 1BR  /  1Ba 950 ft 2 condo laundry in bldg no smoking valet parking, 1 hour 13 mins, 26 mins, 41 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-spacious-studio-apartment-in/7127359442.html, https://www.google.com/maps/search/41.934532,-87.655365, 0BR  /  1Ba available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry in bldg street parking, 1 hour 37 mins, 33 mins, Error Pulling Maps Info!,
